क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
113	क्षीष्		हिंसायाम्	क्षी	क्षीतः	क्षीतवान्	क्षीत्वा	प्रक्षीय	क्षेतुम्	क्षेतव्यम्	क्षेता	क्षेष्यति		क्षायकः	क्षयः	क्षेयम्	क्षयणीयम्	क्षयणम्	
114	ञिभी		भये	भी	भीतः	भीतवान्	भीत्वा	विभीय	भेतुम्	भेतव्यम्	भेता	भेष्यति		भायकः	भयः	भेयम्	भयनीयम्	भयनम्	
115	डुक्रीञ्		द्रव्यविनिमये	क्री	क्रीतः	क्रीतवान्	क्रीत्वा	विक्रीय	क्रेतुम्	क्रेतव्यम्	क्रेता	क्रेष्यति	क्रेष्यते	क्रायकः	क्रयः	क्रेयम्	क्रयणीयम्	क्रयणम्	
116	प्रीञ्		तर्पणे कान्तौ च	प्री	प्रीतः	प्रीतवान्	प्रीत्वा	विप्रीय	प्रेतुम्	प्रेतव्यम्	प्रेता	प्रेष्यति	प्रेष्यते	प्रायकः	प्रयः	प्रेयम्	प्रयणीयम्	प्रयणम्	
117	श्रीञ्		पाके	श्री	श्रीतः	श्रीतवान्	श्रीत्वा	विश्रीय	श्रेतुम्	श्रेतव्यम्	श्रेता	श्रेष्यति	श्रेष्यते	श्रायकः	श्रयः	श्रेयम्	श्रयणीयम्	श्रयणम्	
118	मीञ्		बन्धने	मी	मीतः	मीतवान्	मीत्वा	प्रमाय	मेतुम्	मेतव्यम्	मेता	मेष्यति	मेष्यते	मायकः	मयः	मेयम्	मयनीयम्	मयनम्	
119	दीधीञ्		दीप्तिदेवनयोः	दीधी	दीधितः	दीधितवान्	दीधित्वा	प्रदीध्य	दीधितुम्	दीधितव्यम्	दीधिता		दीधिष्यते	दीध्यकः	दीध्यः	देध्यम्	दीध्यनीयम्	दीध्यनम्	
120	वेवीङ्		वेतिना तुल्ये	वेवी	वेवितः	वेवितवान्	वेवित्वा	प्रवेव्य	वेवितुम्	वेवितव्यम्	वेविता		वेविष्यते	वेव्यकः	वेव्वः	वेव्यम्	वेव्यनीयम्	वेव्यनम्	
121	धुञ्		कम्पने	धु	धुतः	धुतवान्	धुत्वा	प्रधुत्य	धोतुम्	धोतव्यम्	धोता	धोष्यति	धोष्यते	धावकः	धवः	धव्यम्	धवनीयम्	धवनम्	
121.1	धूञ्		 (इत्येके)	धू	धूतः	धूतवान्	धूत्वा	विधूय	धवितुम्	धवितव्यम्	धविता	धविष्यति	धविष्यते	धावकः	धवः	धव्यम्	धवनीयम्	धवनम्	
122	ऊर्णुञ्		आच्छादने	ऊर्णु	ऊर्णुतः	ऊर्णुतवान्	ऊर्णुत्वा	प्रोर्णुय	ऊर्णुवितुम्	ऊर्णुवितव्यम्	ऊर्णुविता	ऊर्णुविष्यति	ऊर्णुविष्यते	ऊर्णावकः	ऊर्णवः	ऊर्णव्यम्	ऊर्णुवनीयम्	ऊर्णुवनम्	
123	गु		पुरीषोत्सर्गे	गु	गुतः	गुतवान्	गुत्वा	प्रगुत्य	गुतुम्	गुतव्यम्	गुता	गुष्यति		गावकः	गुवः	गुयम्	गुवनीयम्	गुवनम्	
124	धु		गतिस्थैर्ययोः	ध्रु	ध्रुतः	ध्रुतवान्	ध्रुत्वा	प्रध्रुत्य	ध्रुतुम्	ध्रुतव्यम्	ध्रुता	ध्रुष्यति		ध्रावकः	ध्रुवः	ध्रुयम्	ध्रुवणीयम्	ध्रुवणम्	
125	कुङ्		शब्दे	कु	कुतः	कुतवान्	कुत्वा	निकुत्य	कुतुम्	कुतव्यम्	कुता		कुष्यते	कावकः	कुवः	कुयम्	कुवनीयम्	कुवनम्	
126	ध्रु		स्थैर्ये	ध्रु	ध्रुतः	ध्रुतवान्	ध्रुत्वा	विध्रुत्य	ध्रोतुम्	ध्रोतव्यम्	ध्रोता	ध्रोष्यति		ध्रावकः	ध्रवः	ध्रव्यम्	ध्रवणीयम्	ध्रवणम्	
127	दु		गतौ	दु	दुतः	दुतवान्	दुत्वा	विदुत्य	दोतुम्	दोतव्यम्	दोता	दोष्यति		दावकः	दवः	दव्यम्	दवनीयम्	दवनम्	
128	द्रु		गतौ	द्रु	द्रुतः	द्रुतवान्	द्रुत्वा	विद्रुत्य	द्रोतुम्	द्रोतव्यम्	द्रोता	द्रोष्यति		द्रावकः	द्रवः	द्रव्यम्	द्रवणीयम्	द्रवणम्	
129	स्रु		गतौ	स्रु	स्रुतः	स्रुतवान्	स्रुत्वा	विस्रुत्य	स्रोतुम्	स्रोतव्यम्	स्रोता	स्रोष्यति		स्रावकः	स्रवः	स्रव्यम्	स्रवणीयम्	स्रवणम्	
130	षु		प्रसवैश्वर्ययोः		सुतः	सुतवान्	सुत्वा	प्रसुत्य	सोतुम्	सोतव्यम्	सोता	सोष्यति		सावकः	सवः	सव्यम्	सवनीयम्	सवनम्	
131	णु		स्तुतौ	नु	नुतः	नुतवान्	नुत्वा	प्रणुत्य	नवितुम्	नवितव्यम्	नविता	नविष्यति		नावकः	नावः	नव्यम्	नवनीयम्	नवनम्	
132	यु		मिश्रणेऽमिश्रणे च	यु	युतः	युतवान्	युत्वा	संयुत्य	यवितुम्	यवितव्यम्	यविता	यविष्यति		यावकः	यवः	यव्यम्	यवनीयम्	यवनम्	
133	रु		शब्दे	रु	रुतः	रुतवान्	रुत्वा	विरुत्य	रवितुम्	रवितव्यम्	रविता	रविष्यति		रावकः	रवः	रव्यम्	रवनीयम्	रवनम्	
134	टुक्षु		शब्दे	क्षु	क्षुतः	क्षुतवान्	क्षुत्वा	विक्षुत्य	क्षवितुम्	क्षवितव्यम्	क्षविता	क्षविष्यति		क्षावकः	क्षावः	क्षेयम्	क्षवणीयम्	क्षवणम्	
135	क्ष्णु		तेजने	क्ष्णु	क्ष्णुतः	क्ष्णुतवान्	क्ष्णुत्वा	विक्ष्णुत्य	क्ष्णवितुम्	क्ष्णवितव्यम्	क्ष्णविता	क्ष्णविष्यति		क्ष्णावकः	क्ष्णवः	क्ष्णव्यम्	क्ष्णवणीयम्	क्ष्णवणम्	
