नाम	अक्षराणि	विषमे-स्वराः	विषमयोर् मात्राः	समे-सङ्ख्या	समयोर् मात्राः	प्रसिद्धिः	पादयोर् आदिसाम्यम्	पादयोः अन्त्यसाम्यम्	जातिः	जातिः २	लक्षणम्	लक्षणमूलम्	उदाहरणम्	मुख्यांशः
वर्गवती	42	11	दा द द दा द द दा द द दा दा	10	द द दा द द दा द द दा दा			द द दा द द दा द द दा दा						
वैयाली	42	11	द द द द द द दा द दा द दा	10	दा दा दा द द दा द दा द दा			द द दा द दा द दा						
सुन्दरी	42	11	द द दा दा द द दा द दा द दा	10	द द दा द द दा द दा द दा	३	द द दा	दा द द दा द दा द दा						
अरुन्तुदः	44	10	द द दा द द दा द दा द दा	12	द द द द दा द द दा द दा द दा		द द	द द दा द द दा द दा द दा						
नवनीलता	44	10	द द दा द द दा द दा द दा	12	द द दा दा द द द दा द दा द दा		द द दा	द द दा द दा द दा						
संपातशीला	44	10	दा दा द दा दा दा दा द दा दा	12	द द दा द द द दा दा दा द दा दा			दा दा दा द दा दा						
इन्द्रवज्रोपेन्द्रवज्रोपजातिः	42	11	इन्द्रवज्रा | उपेन्द्रवज्रा	11	इन्द्रवज्रा | उपेन्द्रवज्रा						अनंतरोदीरितलक्ष्मभाजौ पादौ यदीयावुपजातयस्ताः । इत्थं किलान्यास्वपि मिश्रितासु स्मरन्ति जातिष्विदमेव नाम ॥ ३४			
अयवती	44	11	द द दा दा दा दा द द द द दा	11	दा दा द द द द दा दा द द दा			द द दा						
अवहित्रा	44	11	दा द द दा द द दा द द दा दा	11	द द दा द द दा द द दा द द									
आख्यानकी	44	11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा			दा द दा दा द द दा द दा दा				वृत्तरत्नाकरः		
उपचित्रा	44	11	द द दा द द दा द द दा द द	11	दा द द दा द द दा द द दा दा							वृत्तरत्नाकरः		
औपगवम्	44	11	द द द दा द दा दा द दा द दा	11	दा द द दा द दा दा द दा द दा			द द दा द दा दा द दा द दा						
औपगवीतम्	44	11	दा द द दा द दा दा द दा द दा	11	द द द दा द दा दा द दा द दा			द द दा द दा दा द दा द दा						
करभोद्धता	44	11	दा द द दा दा द दा द दा द दा	11	द द दा द द द दा द दा द दा			द दा द दा द दा						
कर्णिनी	44	11	दा द दा द द द दा द द दा दा	11	दा द दा द द द दा द दा द दा		दा द दा द द द दा द	दा						
भद्रा	44	11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा			दा द दा दा द द दा द दा दा						
विपरीताख्यानकी	44	11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा			दा द दा दा द द दा द दा दा				वृत्तरत्नाकरः		
शालभञ्जिका	44	11	द द दा द द द दा द दा द दा	11	दा द द दा दा द दा द दा द दा			द दा द दा द दा						
समयवती	44	11	दा दा द द द द दा दा द द दा	11	द द दा दा दा दा द द द द दा			द द दा						
